title,company,location,salary_min,salary_max,description,externalurl,posteddate,expirationdate,category,jobtype,status
Verslo sistemų koordinatorius (-ė),UAB „Hiltus“,Vilnius,3000,4500,"Kur kursi vertę:
Prižiūrėsi ir tobulinsi įmonės naudojamas verslo valdymo sistemas;
Gilinsies į skirtingų komandų veiklą ir padėsi rasti efektyvesnius darbo būdus;
Analizuosi procesus ir siūlysi, kaip juos automatizuoti ar supaprastinti;
Būsi tas žmogus, kuris „išverčia“ verslo poreikius į IT sprendimus;
Kursi aiškią ir suprantamą dokumentaciją bei instrukcijas;
Konsultuosi kolegas ir padėsi jiems efektyviai naudotis sistemomis;
Dirbsi su Microsoft sprendimais (Dynamics 365, SharePoint, Power Platform);
Dalyvausi naujų funkcijų testavime, diegime ir integracijose.
Tikimės, kad Tu:
Turi bent minimalios (1–2 m.) patirties dirbant su IT ar verslo sistemomis;
Gebi matyti „bendrą vaizdą“ ir struktūruoti informaciją;
Esi komunikabilus (-i) ir lengvai randi bendrą kalbą su skirtingais žmonėmis;
Turi UML ar BPMN pagrindus (ar bent jau esi su tuo susidūręs (-usi));
Supranti, kaip veikia verslo procesai (programuoti nebūtina);
Nebijai prisiimti atsakomybės ir dirbti su skirtingais interesais;
Moki anglų kalbą.
Būtų pliusas, jei:
Esi dirbęs (-usi) su Microsoft ekosistema (Dynamics, SharePoint, Power Automate ir pan.);
Turi patirties su Business Central ar CRM sprendimais;
Esi dalyvavęs (-usi) testavimo ar diegimo procesuose.
Ką gausi mainais:
Realų poveikį – tavo sprendimai bus naudojami kasdien;
Laisvę siūlyti idėjas ir jas įgyvendinti;
Modernią darbo aplinką ir stiprią komandą;
Augimo galimybes tiek IT, tiek verslo srityje;
Komandos renginius, išvykas į užsienį (pvz. slidinėjimo kelionė) ir papildomas naudas;
Atlyginimas
3000-4500
                                €/mėn.
                                neatskaičius mokesčių
Atlygis priklausys nuo Tavo patirties, kompetencijų ir pasiektų rezultatų – konkrečios sąlygos bus aptariamos pokalbio metu.
Užtikriname visų kandidatų konfidencialumą ir susisieksime tik su atrinktais kandidatais.",https://www.cvbankas.lt/verslo-sistemu-koordinatorius-e-vilniuje/1-13786757,2026-04-16,2026-05-16,IT / Technology,,ACTIVE
Commerce Operations Specialist,UAB „Helis play“,Kaunas,1800,1940,"About the role
At Eneba, our Commerce team plays a crucial role in ensuring the marketplace offers a wide and reliable selection of products. We focus on building strong partnerships, onboarding new suppliers, and maintaining a consistent supply of high-demand items. Continuously exploring new product categories, we aim to deliver the best value and selection to our customers. We are looking for a Commerce Operations Specialistto join our team and help streamline Eneba’s marketplace operations while optimizing pricing and product workflows.
Responsibilities
Monitor and maintain supplier balances ensuring accurate and up-to-date tracking.
Proactively identify and resolve supplier-side issues, escalating where necessary.
Serve as the primary operational contact for vendor partners, handling accounting-related queries and day-to-day account management.
Oversee wholesale invoicing processes, ensuring accuracy and timely follow-up.
Maintain strong working relationships with vendors to ensure long-term operational efficiency.
Requirements
Prior experience in account management, operations, or a similar role involving financial workflows and partner communication.
Strong attention to detail and ability to manage multiple ongoing tasks without dropping the ball.
Excellent written and verbal communication skills — you'll be the go-to person for both internal teams and external partners.
Ability to work independently, identify issues proactively, and follow through to resolution.
Business-level English proficiency (working language is English).
What it's like to work at Eneba
Opportunity to join our Employee Stock Options program.
Opportunity to help scale a unique product.
Various bonus systems: performance-based, referral, additional paid leave, personal learning budget.
Paid volunteering opportunities.
Work location of your choice: office, remote, opportunity to work and travel.
Personal and professional growth at an exponential rate supported by well-defined feedback and promotion processes.
Please attach CV's in English.
To find out about how we handle your personal data, make sure to check out our Candidate Privacy Notice
www.eneba.com/candidate-privacy-notice
Salary
1800-1940
                                €/mon.
                                gross
Salary ranges may vary. We’re seeking candidates with varied experience levels; from individual contributors to functional leaders in this space.
We’re an international team and our business language of choice is English. Good English level is required, proficiency is preferred.",https://www.cvbankas.lt/commerce-operations-specialist-kaune/1-13751281,2026-03-26,2026-04-25,IT / Technology,,ACTIVE
Veiklos analitikas (-ė) (RC vidinės sistemos),"Registrų Centras, VĮ",Vilnius,2175,3263,"Ar Tave traukia technologijos, duomenys ir noras kurti sprendimus, kurie keičia informacines sistemas ir jų paslaugas?
Prisijunk prie mūsų komandos ir tapk
Vidinių IS valdymo skyriaus veiklos analitiku (-e)
– čia būsi atsakingas (-a) už Registrų centro vidinių sistemų produktų kūrimą ir vystymą.
Ieškome kolegos, kuris:
prisidėtų kuriant ir vystant vidines sistemas;
analizuotų IS veikimą ir paslaugų tikimo procesus;
aprašytų ir derintų kuriamo funkcionalumo sprendimus;
organizuotų IS veiklos sutrikimų analizes bei jų šalinimus;
rengtų funkcinius bei nefunkcinius reikalavimus;
išmanytų veiklos analizės metodikas ir gebėtų taikyti jų gerąsias praktikas.
Šioje pozicijoje mums svarbu:
aukštasis arba jam prilygintas išsilavinimas;
reikšminga analitinio darbo patirtis su informacinėmis sistemomis;
informacinių sistemų vystymo ir priežiūros principų išmanymas;
gebėjimas analizuoti ir modeliuoti veiklos procesus (privalumas – BPMN ir UML žinios);
gebėjimas sklandžiai ir taisyklingai dėstyti mintis lietuvių kalba žodžiu ir raštu ir anglų kalbos mokėjimas;
smalsumas, analitinis mąstymas, gebėjimas ieškoti sprendimų ir bendradarbiauti;
finansų apskaitos procesų išmanymas būtų privalumas.
Džiaugiamės galėdami pasiūlyti:
iššūkius, tobulėjimą ir profesinį augimą strateginę reikšmę Lietuvai turinčioje įmonėje;
vidinės karjeros galimybes;
mentoriaus pagalbą pirmaisiais darbo mėnesiais;
mokymų krepšelį bei vidinę mokymų bazę;
kintamąją metinio atlygio dalį, priklausančią nuo Jūsų ir įmonės veiklos rezultatų;
finansinį palaikymą ištikus nelaimei;
partnerių nuolaidas MELP programėlėje;
papildomą sveikatos draudimą;
3 papildomas apmokamas sveikatinimosi dienas;
2 savaites darbostogų per metus;
22 atostogų dienas;
lankstų darbo grafiką (pradžią nuo 7:00 - 9:00 ir atitinkamai darbo pabaigą 16:00 - 18:00);
hibridinio darbo modelį;
lengvai pasiekiamą darbo vietą Vilniaus centre, modernų biurą ir ergonominę darbo vietą;
galimybę naudotis dviračių saugykla.
Atlyginimas:
2 175 - 3 263 €/mėn. neatskaičius mokesčių. Tikslus darbo užmokesčio dydis priklausys nuo Jūsų turimos kompetencijos ir profesinės patirties.
Atranka gali baigtis greičiau, nepriklausomai nuo skelbimo galiojimo laiko (2026-04-18), todėl nedvejokite ir tapkite mūsų komandos dalimi!
Mums svarbiausia profesionalumas, reikiamos žinios, gebėjimai ir motyvacija dirbti. Įmonėje taikome nulinės diskriminacijos principus. Plačiau kviečiame susipažinti su įmonės
tvaria veikla, etikos kodeksu ir lygių galimybių politika
www.registrucentras.lt/tvarumas/
.
Konfidencialumą garantuojame.
Kontaktai pasiteiravimui: Kamilė, tel. +370 659 59785.
Atlyginimas
2175-3263
                                €/mėn.
                                neatskaičius mokesčių",https://www.cvbankas.lt/veiklos-analitikas-e-rc-vidines-sistemos-vilniuje/1-13740463,2026-04-17,2026-05-18,IT / Technology,,ACTIVE
Full-stack Python programuotojas (-a),UAB „Manpower Lit“,Vilnius,4100,5300,"Darbo pobūdis
Kasdien tu:
Prižiūrėsi EMS e‑komercijos sistemą ir padėsi jai augti;
Kursi funkcionalumus, modulius, API ir integracijas, kurios praplės sistemos ribas;
Modernizuosi UI, tobulinsi UX ir atnaujinsi komponentus, kad vartotojai jaustų skirtumą;
Analizuosi esamą kodą, atliksi refaktoringą, optimizacijas ir užtikrinsi sistemos našumą;
Dirbsi su MySQL, prisidėsi prie architektūros, saugumo ir kokybės sprendimų kartu su komanda.
Mes tikimės, kad tu:
Bent 3 metus programuoji Python (Django) ir Angular/TypeScript - nuo backend logikos iki patrauklaus frontendo;
Turi patirties dirbant su produkcinėmis sistemomis ir MySQL užklausomis, optimizavimu bei struktūros tobulinimu;
Gebi kurti API (REST ar kitus web servisus), integracijas bei autentifikavimo/autorizacijos sprendimus;
Matai ne tik kodą, bet ir galimus sprendimus – turi analitinį mąstymą, esi savarankiškas ir prisiimi atsakomybę už savo rezultatus;
Privalumu laikytume patirtį su e‑komercijos projektais, Docker, CI/CD, UI/UX modernizacija bei mokėjimų/ logistikos integracijomis.
Prisijungus tavęs laukia:
Priedai už papildomas užduotis ir kompensacija pietums;
Teritorijoje esanti sporto salė ir nemokama stovėjimo vieta tavo automobiliui;
Dovanos vaiko gimimo ir tavo gimtadienio proga;
Google biuro stiliumi įrengtos modernios ir erdvios darbo vietos.
Atlyginimas
4100-5300
                                €/mėn.
                                neatskaičius mokesčių",https://www.cvbankas.lt/full-stack-python-programuotojas-a-vilniuje/1-13663223,2026-04-17,2026-05-08,IT / Technology,,ACTIVE
IT inžinierius (-ė),NORTHWAY ĮMONIŲ GRUPĖ,Vilnius,2900,3300,"Būsite atsakingas už:
DARBO POBŪDIS
✓ Kompiuterizuotų darbo vietų diegimas ir administravimas;
✓ Gamybinės ir laboratorinės įrangos IT sistemų priežiūra ir administravimas;
✓ Vidinių vartotojų konsultavimas ir apmokymas dirbti su IT įrenginiais;
✓ Serverių ir serverinės įrangos priežiūra ir administravimas bei saugumo užtikrinimas;
✓ Kompiuterinių tinklų, kompiuterių ir programinės įrangos priežiūra ir administravimas;
✓ Praėjimo kontrolės, vaizdo stebėjimo tinklo priežiūra ir administravimas;
✓ MS Office 365 administravimas (MS Exchange online, MS Sharepoint online etc);
✓ Konferencinės įrangos, telekomunikacinio tinklo, tarnybinių mobilaus ryšio telefonų, spausdintuvų ūkio priežiūra ir administravimas;
✓ Įdiegtų programų veikimo priežiūra ir kt.
Tikimės, kad Jūs:
REIKALAVIMAI
✓ Išsilavinimas informacinių technologijų / informatikos srityje;
✓ IT inžinieriaus (-ės) darbo patirtis;
✓ MS Windows, Linux (privalumas) operacinių šeimų išmanymas;
✓ Patirtis su virtualizacijos platformomis (VMWare privalumas);
✓ Duomenų bazių sistemų valdymo žinios (SQL);
✓ Puiki anglų kalba.
Mes Jums siūlome:
✓ Konkurencingą atlyginimą;
✓ Intelektualią aukštųjų technologijų aplinką.
Atlyginimas
2900-3300
                                €/mėn.
                                neatskaičius mokesčių
Darbo užmokestis derinamas su konkrečiu kandidatu (-e) priklausomai nuo kompetencijų.",https://www.cvbankas.lt/it-inzinierius-e-vilniuje/1-13510903,2026-04-17,2026-05-18,IT / Technology,,ACTIVE
Pardavimų palaikymo grupės asistentas (-ė) Klaipėdoje,AB „LIETUVOS DRAUDIMAS“,Klaipėda,1163,1163,"Mes – „
Lietuvos draudimas
“. Esame tie, kuriems rūpi gražesnė ateitis ir kurie nuoširdžiai tiki, kad ji yra įmanoma. Ir tam mums reikia geriausios komandos. Tokios, kuri atidaro duris, kai rankose neši tris puodelius kavos, o galvoje – dešimtį beprotiškų idėjų. Dar – džiaugiasi tavo pergalėmis ir tyliai palaiko jų laukiant. Nes noras laimėti yra mūsų bendras varikliukas visur – nuo kasdienio projekto iki buvimo rinkos lyderiais. Nesame superherojai, tačiau kasdien į darbą einame su jausmu, kad galime daug.
Jei trumpiau – profesionaliai žiūrime į darbą ir gerai jaučiamės savo darbo vietoje. Tačiau tikime, kad su dar vienu komandos nariu tapsime dar stipresni. Ar prisijungsi prie mūsų?
Šiuo metu į savo komandą kviečiame
Pardavimų palaikymo grupės asistentą (-ę) Klaipėdoje.
Ar tai Tu?
Šiuo metu studijuoji arba turi nedidelę (iki 1 m.) darbo patirtį
Turi puikius bendravimo, planavimo ir darbo organizavimo įgūdžius
Esi užsidegęs (-usi) mokytis ir tobulėti
Patikėtas užduotis atlieki atidžiai ir kruopščiai
Kompiuteriu naudojiesi ne tik socialiniams tinklams, moki dirbti MS Office programomis, ypač Excel
Gebi analizuoti duomenis
Kodėl verta jungtis prie mūsų?
Turime stiprių argumentų:
Būsi atsakingas už klientų duomenų sisteminimą, analizę, tvarkymą, palyginimą
Išmoksi koreguoti ir administruoti draudimo sutartis
Pažinsi, kaip veikia draudimo pardavimo procesai draudimo bendrovėje
Būsi ""reikalų"" sūkuryje. Dirbsi su profesionaliais pardavimų palaikymo specialistais, kurie padės Tau susipažinti su dominančiais procesai
Perprasi „Lietuvos draudimo“ įmonės struktūrą, verslo procesus ir daug kitų naujų dalykų
Mums reikia ir Tavo idėjų. Turėsi galimybę jas reikšti ir įgyvendinti, būsi pastebėtas ir įvertintas
O mums bus svarbu Tavo:
Sveikata:
darbuotojų draudimas, programa „Jaučiuosi gerai“ emocinei ir fizinei sveikatai palaikyti
Darbo ir poilsio balansas:
hibridinis darbo modelis
Finansinė gerovė:
palankios sąlygos draudimo produktams įsigyti
Tobulėjimas:
asmeninės mokymosi, naujokų įvedimo programos
Savirealizacija:
individualus karjeros planavimas ir neribotos galimybės (per 2025 metus 79 darbuotojai padarė vidinę karjerą), pripažinimo renginiai
Atlyginimas:
1163 Eur (neatskaičius mokesčių).
Jauti, kad šis darbas Tau? Jis gali būti Tavo. Ką turi padaryti pirmiausia – atsiųsk CV!
Paskubėk – atranką pradedame ir užbaigiame nepriklausomai nuo skelbimo galiojimo laiko. Papildomai informuojame, kad, galime kreiptis į Tavo buvusį darbdavį, norėdami sužinoti apie Tavo kvalifikaciją bei profesinius gebėjimus.
***
Atlyginimas
1163
                                €/mėn.
                                neatskaičius mokesčių",https://www.cvbankas.lt/pardavimu-palaikymo-grupes-asistentas-e-klaipedoje-klaipedoje/1-13740187,2026-04-17,2026-05-18,IT / Technology,,ACTIVE
System Analyst (ERP/NetSuite Implementation),UAB „Ltintus“,Darbas namuose,2600,3500,"ABOUT INTUS WINDOWS
We are INTUS Windows; we create high-performing windows and doors that conserve energy, increase thermal performance, reduce noise, and we are growing by the day. Our mission is to passionately serve clients and deliver high-performance building solutions through technology and Artificial Intelligence. We are Committed and Results-Oriented in our pursuit to see every team member reach their personal, professional, and financial goals through the work we do together. Our core values are the backbone of our business and guide our hiring process: we are Inspirational, Client Obsessed, Aligned, Transparent and Accountable.
We are a “TOP COMPANY 2025”
What does this mean for you?
✅ Stability and growth: a financially stable company and a secure workplace.
✅ A transparent and responsible work environment: clear processes and a respectful work culture.
✅ Growth opportunities: sustainable expansion and long-term career prospects.
SUMMARY
We are looking for a System Analyst to support and grow with our NetSuite platform.
This role is ideal for someone who wants to deepen their ERP expertise and participate in NetSuite implementation and launch project, gaining hands-on experience and preparing to take over ongoing system support and improvements.
PERFORMANCE OBJECTIVSES
Support NetSuite implementation together with external partners
Learn system configuration, data structures, and process flows
Assist in translating business needs into system requirements
Participate in testing, data validation, and user support
Help document processes, configurations, and decisions
Support integrations with external systems
Ensure data consistency and process alignment
KEY COMPETENCIES
Understanding of core business processes (Sales, Operations, Finance basics)
Strong analytical thinking and ability to structure complex information
Attention to detail and ability to work in a structured way
Good communication skills – ability to work with both business and IT teams
Proactive mindset – not just executing tasks, but asking questions and seeking improvements
EDUCATION AND EXPERIENCE
1–3 years of experience working with ERP or accounting systems, including participation in implementation projects (NetSuite is a plus)
Nice To Have:
Exposure to NetSuite (projects, courses, or hands-on use)
Experience in manufacturing or order-based business
Basic understanding of integrations or data flows
WHAT WE OFFER
Remote work option.
Participating in our ""One Window - One Tree"" initiative.
A brand new, modern construction workplace in Šiauliai.
The opportunity to improve your skills through professional development training.
A rapidly growing company.
A collaborative and supportive team environment.
Team building activities and company events.
Salary
2600-3500
                                €/mon.
                                gross",https://www.cvbankas.lt/system-analyst-erp-netsuite-implementation-darbas-namuose/1-13790995,2026-04-17,2026-05-17,IT / Technology,,ACTIVE
Shopify specialistas (-ė) (Web &Growth),"MKS Trade, UAB",Vilnius,2000,4000,"Pagrindinės atsakomybės
🚀 Prisijunk prie vieno sparčiausiai augančių D2C prekės ženklų
KomfortKissen yra vienas sparčiausiai augančių D2C miego produktų prekės ženklų DACH. Esame tarp TOP 5 šioje kategorijoje, kiekvieną mėnesį aptarnaujame dešimtis tūkstančių klientų. Turėdami daugiau nei 15 mln. € metinių pajamų ir 100%+ metinį augimą, ieškome praktiškai dirbančio („hands-on“) Shopify techninio specialisto, kuris prisiimtų atsakomybę už mūsų parduotuvės infrastruktūrą, našumą ir nuolatinį vystymą.
Šioje pozicijoje būsi atsakingas už e-shop ekosistemos techninę būklę, mastelio didinimą ir optimizavimą, taip pat prisidėsi prie augimo iniciatyvų per struktūruotus testus ir nuolatinius patobulinimus.
Valdysi ir prižiūrėsi Shopify parduotuvę (tema, aplikacijos, integracijos, visa architektūra)
Užtikrinsi svetainės greitį, našumą ir techninius standartus visuose įrenginiuose
Kursi ir palaikysi landing puslapius, funnelius ir kampanijų patirtis
Bendradarbiausi su marketingo komanda įgyvendinant eksperimentus (A/B testai, CRO iniciatyvos)
Optimizuosi produktų puslapius, bundle’us, upsell’us ir prekių pateikimo logiką iš techninės pusės
Spręsi technines problemas, valdysi aplikacijų stack’ą ir užtikrinsi sistemos stabilumą bei plėtrą
Nuolat gerinsi UX/UI ir vartotojo kelią remiantis duomenimis ir rezultatais
Reikalavimai
Šiai pozicijai nereikia programavimo Shopify platformoje, nes turime techninę komandą, kuri įgyvendins visus reikalingus pakeitimus.
Bent 1 metų praktinė patirtis su Shopify (temų pritaikymas, aplikacijos, integracijos)
Geras Shopify architektūros, našumo optimizavimo ir best practices supratimas
Gebi įgyvendinti landing puslapius, funnelius ir front-end pakeitimus
Susipažinęs su CRO principais ir testavimo įrankiais (pvz., AB Convert, VWO, Visually)
Analitinis mąstymas ir gebėjimas prioritetizuoti techninius patobulinimus pagal poveikį
Proaktyvus, orientuotas į detales ir gebantis dirbti greito tempo D2C aplinkoje
Ką siūlome
2000–4000 € bruto atlyginimas + bonusai pagal rezultatus
Pilna atsakomybė už didelio srauto Shopify parduotuvę su 15M+ € metinėmis pajamomis
Darbą sparčiai augančioje, į rezultatą orientuotoje komandoje
Tiesioginę įtaką svetainės našumui, plėtrai ir pajamų augimui
Galimybę kurti, testuoti ir „scale’inti“ techninius sprendimus nuo A iki Z 🚀
Ofisą: Kalvarijų g. 126A + hybrid modelį.
Atlyginimas
2000-4000
                                €/mėn.
                                neatskaičius mokesčių",https://www.cvbankas.lt/shopify-specialistas-e-web-growth-vilniuje/1-13790809,2026-04-17,2026-05-17,IT / Technology,,ACTIVE
CHIEF TECHNOLOGY OFFICER (CTO),UAB Emplonet,Vilnius,5000,7000,"Responsibilities:
Lead and oversee the technology department, managing both internal engineering staff and outsourced development partners;
Establish clear ownership of responsibilities across internal teams, outsourcing partners, and sub-contractors;
Serve as the primary technology authority and trusted;
Collaborate closely with the CEO and C-level peers and contribute to strategic decision-making at the executive level;
Oversee the architecture, stability, and continuous improvement of core systems, including open banking infrastructure, back office and front office solutions;
Coordinate with the outsourced information security function to ensure compliance, and other applicable regulatory frameworks;
Manage technology vendor relationships, evaluate partner performance, and drive informed decisions regarding the technology supply chain;
Represent the technology department before the board of directors and regulatory bodies, communicating complex technical matters clearly to non-technical stakeholders;
Participate in the integration and oversight of AML and other SaaS-based compliance solutions at key project stages;
Identify gaps in the current technology landscape and develop a structured roadmap.
Requirements:
Proven leadership experience managing engineering or IT teams (5+ years in a senior tech role);
Strong background in software architecture, infrastructure, and product development;
Experience in fintech or financial services environment is a strong advantage;
Ability to align technology strategy with business goals and work closely with executive leadership;
Track record of scaling and mentoring technical teams, managing budgets and vendor relationships.
Company offers:
Stable employment on the basis of a full-time job contract;
Office in a distinguished location with scenic riverside views;
Flat organizational structure.
Salary
5000-7000
                                €/mon.
                                net",https://www.cvbankas.lt/chief-technology-officer-cto-vilniuje/1-13790707,2026-04-17,2026-05-17,IT / Technology,,ACTIVE
IT produkto vadovas (-ė) / System Owner (gamybos sistema),UAB „Ortho Baltic“,Kaunas,3500,5000,"Atsakomybės:
Užtikrinti „Dispatch 2“ sistemos stabilų veikimą ir nuoseklų tobulinimą;
Identifikuoti, struktūruoti ir prioritetizuoti sistemos klaidas bei tobulinimo poreikius;
Dirbti su gamybos komanda, renkant grįžtamąjį ryšį ir konvertuojant jį į IT užduotis;
Formuoti ir valdyti produkto backlog’ą (užduotys, bug’ai, patobulinimai);
Koordinuoti programuotojų darbą ir užtikrinti kokybišką sprendimų įgyvendinimą;
Analizuoti sistemos duomenis ir procesus, identifikuojant optimizavimo galimybes;
Prisiimti atsakomybę už sistemos būklę, kokybę ir vystymo kryptį
Užtikrinti sistemingą duomenų kaupimą, kokybę ir struktūrizavimą, kad jie būtų tinkami tolimesniam panaudojimui (analitika, automatizacija, naujų produktų kūrimas);
Apgalvoti ir vystyti duomenų integracijas su kitomis verslo sistemomis (pvz., ERP, NAV, buhalterija);
Prisidėti prie naujų sprendimų kūrimo, paremtų „Dispatch 2“ duomenimis (pvz., automatizacija, 3D modeliavimas, AI sprendimai);
Dokumentuoti funkcionalumus ir užtikrinti žinių perdavimą komandoje.
Reikalavimai:
Patirtis IT produktų ar sistemų vystymo srityje (Product Owner / Project Manager / Business Analyst rolėje);
Gebėjimas struktūruoti problemas ir valdyti prioritetus;
Patirtis dirbant su programuotojų komandomis;
Supratimas apie IT sistemų architektūrą ir veikimo principus;
Gebėjimas analizuoti procesus ir siūlyti praktinius sprendimus;
Stiprūs komunikacijos įgūdžiai (ypač dirbant su ne IT komandomis);
Puikios lietuvių ir anglų kalbos žinios (žodžiu ir raštu).
Privalumai:
Patirtis gamybos, ERP, MES ar planavimo sistemose;
Patirtis dirbant su legacy sistemomis ir jų tvarkymu;
Duomenų analizės supratimas;
Patirtis su Jira, GitLab ar kitais užduočių valdymo įrankiais;
Domėjimasis AI, automatizacija ar 3D technologijomis.
Kodėl verta prisijungti prie mūsų?
Užimsite kritinę rolę įmonėje ir turėsite tiesioginę įtaką gamybos efektyvumui;
Dirbsite su unikalia personalizuotos gamybos sistema bei prisidėsite prie jos tobulinimo;
Matysite realų savo darbo poveikį – priimti sprendimai atsispindės kasdieniuose gamybos procesuose;
Dalyvausite kuriant naujus technologinius sprendimus, pavyzdžiui, automatizuoto modeliavimo srityje;
Turėsite galimybę augti ir plėsti kompetencijas technologijų, IT produktų vystymo bei verslo srityse;
Galėsite dirbti lanksčiu hibridiniu modeliu, derinant nuotolinį darbą su darbu biure pagal komandos ir projektų poreikius. Pradžioje daugiau laiko būtų skiriama darbui įmonėje, siekiant sklandaus įsitraukimo.
Atlyginimas
3500-5000
                                €/mėn.
                                neatskaičius mokesčių",https://www.cvbankas.lt/it-produkto-vadovas-e-system-owner-gamybos-sistema-kaune/1-13790593,2026-04-17,2026-05-17,IT / Technology,,ACTIVE
